1, ocean, alexscaves:abyssal_chasm, MONSTER, alexscaves:deep_one_mage, 10, 1, 1
1662, none, regions_unexplored:clover_plains, CREATURE, alexsmobs:bison, 10, 6, 10
1663, none, regions_unexplored:clover_plains, AMBIENT, minecraft:bat, 10, 8, 8
1664, none, regions_unexplored:clover_plains, AMBIENT, alexsmobs:fly, 10, 2, 3
1665, none, regions_unexplored:clover_plains, AMBIENT, alexsmobs:cockroach, 10, 5, 5
1666, none, regions_unexplored:clover_plains, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
1667, none, regions_unexplored:clover_plains, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 23, 5, 12
1668, none, regions_unexplored:clover_plains, WATER_AMBIENT, aquaculture:bluegill, 20, 1, 6
1669, none, regions_unexplored:clover_plains, WATER_AMBIENT, aquaculture:brown_trout, 10, 1, 3
1670, none, regions_unexplored:clover_plains, WATER_AMBIENT, aquaculture:carp, 10, 1, 3
1671, none, regions_unexplored:clover_plains, WATER_AMBIENT, aquaculture:catfish, 10, 1, 1
1672, none, regions_unexplored:clover_plains, WATER_AMBIENT, aquaculture:gar, 10, 1, 2
1673, none, regions_unexplored:clover_plains, WATER_AMBIENT, aquaculture:minnow, 18, 1, 5
1674, none, regions_unexplored:clover_plains, WATER_AMBIENT, aquaculture:muskellunge, 10, 1, 1
1675, none, regions_unexplored:clover_plains, WATER_AMBIENT, aquaculture:perch, 20, 1, 6
1676, none, regions_unexplored:clover_plains, WATER_AMBIENT, aquaculture:smallmouth_bass, 10, 1, 3
1677, none, regions_unexplored:clover_plains, rascals, friendsandfoes:rascal, 10, 1, 1
1678, icy, regions_unexplored:cold_boreal_taiga, MONSTER, minecraft:spider, 80, 4, 4
1679, icy, regions_unexplored:cold_boreal_taiga, MONSTER, minecraft:zombie, 80, 4, 4
1680, icy, regions_unexplored:cold_boreal_taiga, MONSTER, minecraft:zombie_villager, 10, 1, 1
1681, icy, regions_unexplored:cold_boreal_taiga, MONSTER, minecraft:skeleton, 20, 4, 4
1682, icy, regions_unexplored:cold_boreal_taiga, MONSTER, minecraft:slime, 80, 4, 4
1683, icy, regions_unexplored:cold_boreal_taiga, MONSTER, minecraft:enderman, 5, 1, 4
1684, icy, regions_unexplored:cold_boreal_taiga, MONSTER, minecraft:witch, 5, 1, 1
1685, icy, regions_unexplored:cold_boreal_taiga, MONSTER, minecraft:stray, 80, 4, 4
1686, icy, regions_unexplored:cold_boreal_taiga, MONSTER, alexsmobs:centipede_head, 10, 1, 1
1687, icy, regions_unexplored:cold_boreal_taiga, MONSTER, alexsmobs:farseer, 30, 1, 1
1688, icy, regions_unexplored:cold_boreal_taiga, MONSTER, alexsmobs:murmur, 10, 1, 1
1689, icy, regions_unexplored:cold_boreal_taiga, MONSTER, creeperoverhaul:cave_creeper, 75, 2, 2
1690, icy, regions_unexplored:cold_boreal_taiga, MONSTER, creeperoverhaul:snowy_creeper, 75, 2, 2
1691, icy, regions_unexplored:cold_boreal_taiga, CREATURE, minecraft:rabbit, 10, 2, 3
1692, icy, regions_unexplored:cold_boreal_taiga, CREATURE, alexsmobs:snow_leopard, 18, 1, 2
1693, icy, regions_unexplored:cold_boreal_taiga, AMBIENT, minecraft:bat, 10, 8, 8
1694, icy, regions_unexplored:cold_boreal_taiga, AMBIENT, alexsmobs:fly, 10, 2, 3
1695, icy, regions_unexplored:cold_boreal_taiga, AMBIENT, alexsmobs:cockroach, 10, 5, 5
1696, icy, regions_unexplored:cold_boreal_taiga, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
1697, icy, regions_unexplored:cold_boreal_taiga, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 23, 5, 12
1698, icy, regions_unexplored:cold_boreal_taiga, WATER_AMBIENT, aquaculture:bluegill, 20, 1, 6
1699, icy, regions_unexplored:cold_boreal_taiga, WATER_AMBIENT, aquaculture:brown_trout, 10, 1, 3
1700, icy, regions_unexplored:cold_boreal_taiga, WATER_AMBIENT, aquaculture:carp, 10, 1, 3
1701, icy, regions_unexplored:cold_boreal_taiga, WATER_AMBIENT, aquaculture:minnow, 18, 1, 5
1702, icy, regions_unexplored:cold_boreal_taiga, WATER_AMBIENT, aquaculture:muskellunge, 10, 1, 1
1703, icy, regions_unexplored:cold_boreal_taiga, WATER_AMBIENT, aquaculture:perch, 20, 1, 6
1704, icy, regions_unexplored:cold_boreal_taiga, rascals, friendsandfoes:rascal, 10, 1, 1
1705, none, regions_unexplored:cold_deciduous_forest, MONSTER, minecraft:spider, 80, 4, 4
1706, none, regions_unexplored:cold_deciduous_forest, MONSTER, minecraft:zombie, 80, 4, 4
1707, none, regions_unexplored:cold_deciduous_forest, MONSTER, minecraft:zombie_villager, 10, 1, 1
1708, none, regions_unexplored:cold_deciduous_forest, MONSTER, minecraft:skeleton, 20, 4, 4
1709, none, regions_unexplored:cold_deciduous_forest, MONSTER, minecraft:slime, 80, 4, 4
1710, none, regions_unexplored:cold_deciduous_forest, MONSTER, minecraft:enderman, 5, 1, 4
1711, none, regions_unexplored:cold_deciduous_forest, MONSTER, minecraft:witch, 5, 1, 1
1712, none, regions_unexplored:cold_deciduous_forest, MONSTER, minecraft:stray, 80, 4, 4
1713, none, regions_unexplored:cold_deciduous_forest, MONSTER, alexsmobs:centipede_head, 10, 1, 1
1714, none, regions_unexplored:cold_deciduous_forest, MONSTER, alexsmobs:farseer, 30, 1, 1
1715, none, regions_unexplored:cold_deciduous_forest, MONSTER, alexsmobs:murmur, 10, 1, 1
1716, none, regions_unexplored:cold_deciduous_forest, MONSTER, creeperoverhaul:cave_creeper, 75, 2, 2
1717, none, regions_unexplored:cold_deciduous_forest, MONSTER, creeperoverhaul:snowy_creeper, 75, 2, 2
1718, none, regions_unexplored:cold_deciduous_forest, CREATURE, minecraft:rabbit, 10, 2, 3
1719, none, regions_unexplored:cold_deciduous_forest, CREATURE, alexsmobs:snow_leopard, 18, 1, 2
1720, none, regions_unexplored:cold_deciduous_forest, AMBIENT, minecraft:bat, 10, 8, 8
1721, none, regions_unexplored:cold_deciduous_forest, AMBIENT, alexsmobs:fly, 10, 2, 3
1722, none, regions_unexplored:cold_deciduous_forest, AMBIENT, alexsmobs:cockroach, 10, 5, 5
1723, none, regions_unexplored:cold_deciduous_forest, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
1724, none, regions_unexplored:cold_deciduous_forest, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 23, 5, 12
1725, none, regions_unexplored:cold_deciduous_forest, WATER_AMBIENT, aquaculture:bluegill, 20, 1, 6
1726, none, regions_unexplored:cold_deciduous_forest, WATER_AMBIENT, aquaculture:brown_trout, 10, 1, 3
1727, none, regions_unexplored:cold_deciduous_forest, WATER_AMBIENT, aquaculture:carp, 10, 1, 3
1728, none, regions_unexplored:cold_deciduous_forest, WATER_AMBIENT, aquaculture:minnow, 18, 1, 5
1729, none, regions_unexplored:cold_deciduous_forest, WATER_AMBIENT, aquaculture:muskellunge, 10, 1, 1
1730, none, regions_unexplored:cold_deciduous_forest, WATER_AMBIENT, aquaculture:perch, 20, 1, 6
1731, none, regions_unexplored:cold_deciduous_forest, rascals, friendsandfoes:rascal, 10, 1, 1
1732, ocean, minecraft:cold_ocean, MONSTER, minecraft:spider, 80, 4, 4
1733, ocean, minecraft:cold_ocean, MONSTER, minecraft:zombie, 80, 4, 4
1734, ocean, minecraft:cold_ocean, MONSTER, minecraft:zombie_villager, 10, 1, 1
1735, ocean, minecraft:cold_ocean, MONSTER, minecraft:skeleton, 80, 4, 4
1736, ocean, minecraft:cold_ocean, MONSTER, minecraft:creeper, 80, 4, 4
1737, ocean, minecraft:cold_ocean, MONSTER, minecraft:slime, 80, 4, 4
1738, ocean, minecraft:cold_ocean, MONSTER, minecraft:enderman, 5, 1, 4
1739, ocean, minecraft:cold_ocean, MONSTER, minecraft:witch, 5, 1, 1
1740, ocean, minecraft:cold_ocean, MONSTER, minecraft:drowned, 10, 1, 1
1741, ocean, minecraft:cold_ocean, MONSTER, alexsmobs:farseer, 30, 1, 1
1742, ocean, minecraft:cold_ocean, CREATURE, alexsmobs:seal, 20, 3, 8
1743, ocean, minecraft:cold_ocean, AMBIENT, minecraft:bat, 10, 8, 8
1744, ocean, minecraft:cold_ocean, AMBIENT, alexsmobs:fly, 10, 2, 3
1745, ocean, minecraft:cold_ocean, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
1746, ocean, minecraft:cold_ocean, WATER_CREATURE, minecraft:squid, 10, 1, 4
1747, ocean, minecraft:cold_ocean, WATER_CREATURE, alexsmobs:orca, 10, 3, 4
1748, ocean, minecraft:cold_ocean, WATER_CREATURE, alexsmobs:cachalot_whale, 10, 1, 2
1749, ocean, minecraft:cold_ocean, WATER_AMBIENT, minecraft:cod, 15, 3, 6
1750, ocean, minecraft:cold_ocean, WATER_AMBIENT, minecraft:salmon, 15, 1, 5
1751, ocean, minecraft:cold_ocean, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 23, 5, 12
1752, ocean, minecraft:cold_ocean, WATER_AMBIENT, aquaculture:atlantic_cod, 10, 1, 1
1753, ocean, minecraft:cold_ocean, WATER_AMBIENT, aquaculture:atlantic_halibut, 10, 1, 1
1754, ocean, minecraft:cold_ocean, WATER_AMBIENT, aquaculture:atlantic_herring, 20, 1, 6
1755, ocean, minecraft:cold_ocean, WATER_AMBIENT, aquaculture:blackfish, 13, 1, 4
1756, ocean, minecraft:cold_ocean, WATER_AMBIENT, aquaculture:jellyfish, 10, 1, 3
1757, ocean, minecraft:cold_ocean, WATER_AMBIENT, aquaculture:pacific_halibut, 10, 1, 1
1758, ocean, minecraft:cold_ocean, WATER_AMBIENT, aquaculture:pink_salmon, 10, 1, 2
1759, ocean, minecraft:cold_ocean, WATER_AMBIENT, aquaculture:pollock, 10, 1, 2
1760, ocean, minecraft:cold_ocean, WATER_AMBIENT, aquaculture:rainbow_trout, 10, 1, 2
1761, ocean, minecraft:cold_ocean, WATER_AMBIENT, aquaculture:red_grouper, 10, 1, 2
1762, ocean, minecraft:cold_ocean, WATER_AMBIENT, aquaculture:tuna, 10, 1, 1
1763, ocean, minecraft:cold_ocean, rascals, friendsandfoes:rascal, 10, 1, 1
1764, river, regions_unexplored:cold_river, MONSTER, minecraft:spider, 80, 4, 4
1765, river, regions_unexplored:cold_river, MONSTER, minecraft:zombie, 80, 4, 4
1766, river, regions_unexplored:cold_river, MONSTER, minecraft:zombie_villager, 10, 1, 1
1767, river, regions_unexplored:cold_river, MONSTER, minecraft:skeleton, 80, 4, 4
1768, river, regions_unexplored:cold_river, MONSTER, minecraft:creeper, 80, 4, 4
1769, river, regions_unexplored:cold_river, MONSTER, minecraft:slime, 80, 4, 4
1770, river, regions_unexplored:cold_river, MONSTER, minecraft:enderman, 5, 1, 4
1771, river, regions_unexplored:cold_river, MONSTER, minecraft:witch, 5, 1, 1
1772, river, regions_unexplored:cold_river, MONSTER, minecraft:drowned, 10, 1, 1
1773, river, regions_unexplored:cold_river, MONSTER, alexsmobs:centipede_head, 10, 1, 1
1774, river, regions_unexplored:cold_river, MONSTER, alexsmobs:farseer, 30, 1, 1
1775, river, regions_unexplored:cold_river, MONSTER, alexsmobs:murmur, 10, 1, 1
1776, river, regions_unexplored:cold_river, CREATURE, alexsmobs:crocodile, 20, 1, 2
1777, river, regions_unexplored:cold_river, CREATURE, alexsmobs:platypus, 20, 1, 2
1778, river, regions_unexplored:cold_river, AMBIENT, minecraft:bat, 10, 8, 8
1779, river, regions_unexplored:cold_river, AMBIENT, alexsmobs:fly, 10, 2, 3
1780, river, regions_unexplored:cold_river, AMBIENT, alexsmobs:cockroach, 10, 5, 5
1781, river, regions_unexplored:cold_river, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
1782, river, regions_unexplored:cold_river, WATER_CREATURE, minecraft:squid, 10, 1, 4
1783, river, regions_unexplored:cold_river, WATER_AMBIENT, minecraft:salmon, 10, 1, 5
1784, river, regions_unexplored:cold_river, WATER_AMBIENT, alexsmobs:terrapin, 10, 1, 2
1785, river, regions_unexplored:cold_river, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 23, 5, 12
1786, river, regions_unexplored:cold_river, WATER_AMBIENT, alexsmobs:catfish, 10, 1, 3
1787, river, regions_unexplored:cold_river, WATER_AMBIENT, aquaculture:bluegill, 20, 1, 6
1788, river, regions_unexplored:cold_river, WATER_AMBIENT, aquaculture:brown_trout, 10, 1, 3
1789, river, regions_unexplored:cold_river, WATER_AMBIENT, aquaculture:carp, 10, 1, 3
1790, river, regions_unexplored:cold_river, WATER_AMBIENT, aquaculture:catfish, 10, 1, 1
1791, river, regions_unexplored:cold_river, WATER_AMBIENT, aquaculture:gar, 10, 1, 2
1792, river, regions_unexplored:cold_river, WATER_AMBIENT, aquaculture:minnow, 18, 1, 5
1793, river, regions_unexplored:cold_river, WATER_AMBIENT, aquaculture:muskellunge, 10, 1, 1
1794, river, regions_unexplored:cold_river, WATER_AMBIENT, aquaculture:perch, 20, 1, 6
1795, river, regions_unexplored:cold_river, WATER_AMBIENT, aquaculture:smallmouth_bass, 10, 1, 3
1796, river, regions_unexplored:cold_river, rascals, friendsandfoes:rascal, 10, 1, 1
1797, none, terralith:cold_shrubland, MONSTER, minecraft:spider, 80, 4, 4
1798, none, terralith:cold_shrubland, MONSTER, minecraft:zombie, 80, 4, 4
1799, none, terralith:cold_shrubland, MONSTER, minecraft:zombie_villager, 10, 1, 1
1800, none, terralith:cold_shrubland, MONSTER, minecraft:skeleton, 80, 4, 4
1801, none, terralith:cold_shrubland, MONSTER, minecraft:slime, 80, 4, 4
1802, none, terralith:cold_shrubland, MONSTER, minecraft:enderman, 5, 1, 4
1803, none, terralith:cold_shrubland, MONSTER, minecraft:witch, 5, 1, 1
1804, none, terralith:cold_shrubland, MONSTER, alexsmobs:centipede_head, 10, 1, 1
1805, none, terralith:cold_shrubland, MONSTER, alexsmobs:farseer, 30, 1, 1
1806, none, terralith:cold_shrubland, MONSTER, alexsmobs:murmur, 10, 1, 1
1807, none, terralith:cold_shrubland, MONSTER, creeperoverhaul:cave_creeper, 75, 2, 2
1808, none, terralith:cold_shrubland, MONSTER, creeperoverhaul:snowy_creeper, 75, 2, 2
1809, none, terralith:cold_shrubland, CREATURE, minecraft:sheep, 12, 8, 8
1810, none, terralith:cold_shrubland, CREATURE, minecraft:pig, 10, 8, 8
1811, none, terralith:cold_shrubland, CREATURE, minecraft:chicken, 10, 8, 8
1812, none, terralith:cold_shrubland, CREATURE, minecraft:cow, 10, 8, 8
1813, none, terralith:cold_shrubland, CREATURE, minecraft:horse, 10, 2, 6
1814, none, terralith:cold_shrubland, CREATURE, minecraft:donkey, 10, 1, 3
1815, none, terralith:cold_shrubland, CREATURE, alexsmobs:raccoon, 10, 2, 4
1816, none, terralith:cold_shrubland, CREATURE, alexsmobs:snow_leopard, 18, 1, 2
1817, none, terralith:cold_shrubland, CREATURE, alexsmobs:crow, 10, 3, 5
1818, none, terralith:cold_shrubland, CREATURE, alexsmobs:bison, 10, 6, 10
1819, none, terralith:cold_shrubland, AMBIENT, minecraft:bat, 10, 8, 8
1820, none, terralith:cold_shrubland, AMBIENT, alexsmobs:fly, 10, 2, 3
1821, none, terralith:cold_shrubland, AMBIENT, alexsmobs:cockroach, 10, 5, 5
1822, none, terralith:cold_shrubland, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
1823, none, terralith:cold_shrubland, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 23, 5, 12
1824, none, terralith:cold_shrubland, WATER_AMBIENT, aquaculture:bluegill, 20, 1, 6
1825, none, terralith:cold_shrubland, WATER_AMBIENT, aquaculture:brown_trout, 10, 1, 3
1826, none, terralith:cold_shrubland, WATER_AMBIENT, aquaculture:carp, 10, 1, 3
1827, none, terralith:cold_shrubland, WATER_AMBIENT, aquaculture:minnow, 18, 1, 5
1828, none, terralith:cold_shrubland, WATER_AMBIENT, aquaculture:muskellunge, 10, 1, 1
1829, none, terralith:cold_shrubland, WATER_AMBIENT, aquaculture:perch, 20, 1, 6
1830, none, terralith:cold_shrubland, rascals, friendsandfoes:rascal, 10, 1, 1
1831, nether, minecraft:crimson_forest, MONSTER, minecraft:zombified_piglin, 10, 2, 4
1832, nether, minecraft:crimson_forest, MONSTER, minecraft:hoglin, 10, 3, 4
1833, nether, minecraft:crimson_forest, MONSTER, minecraft:piglin, 10, 3, 4
1834, nether, minecraft:crimson_forest, MONSTER, alexsmobs:bone_serpent, 10, 1, 1
1835, nether, minecraft:crimson_forest, MONSTER, alexsmobs:crimson_mosquito, 15, 4, 4
1836, nether, minecraft:crimson_forest, MONSTER, alexsmobs:farseer, 30, 1, 1
1837, nether, minecraft:crimson_forest, MONSTER, minecraft:ghast, 7, 4, 4
1838, nether, minecraft:crimson_forest, CREATURE, minecraft:strider, 60, 1, 2
1839, nether, minecraft:crimson_forest, CREATURE, alexsmobs:laviathan, 15, 1, 1
1840, nether, minecraft:crimson_forest, WATER_AMBIENT, netherdepthsupgrade:bonefish, 10, 1, 5
1841, nether, minecraft:crimson_forest, WATER_AMBIENT, netherdepthsupgrade:eyeball_fish, 10, 2, 4
1842, nether, minecraft:crimson_forest, WATER_AMBIENT, netherdepthsupgrade:fortressgrouper, 10, 1, 2
1843, nether, minecraft:crimson_forest, WATER_AMBIENT, netherdepthsupgrade:lava_pufferfish, 15, 1, 5
1844, nether, minecraft:crimson_forest, WATER_AMBIENT, netherdepthsupgrade:searing_cod, 10, 3, 6
1845, nether, minecraft:crimson_forest, WATER_AMBIENT, netherdepthsupgrade:wither_bonefish, 10, 1, 3
1846, none, galosphere:crystal_canyons, MONSTER, minecraft:spider, 80, 4, 4
1847, none, galosphere:crystal_canyons, MONSTER, minecraft:zombie, 80, 4, 4
1848, none, galosphere:crystal_canyons, MONSTER, minecraft:zombie_villager, 10, 1, 1
1849, none, galosphere:crystal_canyons, MONSTER, minecraft:skeleton, 80, 4, 4
1850, none, galosphere:crystal_canyons, MONSTER, minecraft:creeper, 80, 4, 4
1851, none, galosphere:crystal_canyons, MONSTER, minecraft:slime, 80, 4, 4
1852, none, galosphere:crystal_canyons, MONSTER, minecraft:enderman, 5, 1, 4
1853, none, galosphere:crystal_canyons, MONSTER, minecraft:witch, 5, 1, 1
1854, none, galosphere:crystal_canyons, MONSTER, alexsmobs:centipede_head, 10, 1, 1
1855, none, galosphere:crystal_canyons, MONSTER, alexsmobs:farseer, 30, 1, 1
1856, none, galosphere:crystal_canyons, MONSTER, alexsmobs:murmur, 10, 1, 1
1857, none, galosphere:crystal_canyons, AMBIENT, minecraft:bat, 10, 8, 8
1858, none, galosphere:crystal_canyons, AMBIENT, alexsmobs:fly, 10, 2, 3
1859, none, galosphere:crystal_canyons, AMBIENT, alexsmobs:cockroach, 10, 5, 5
1860, none, galosphere:crystal_canyons, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
1861, none, galosphere:crystal_canyons, UNDERGROUND_WATER_CREATURE, galosphere:sparkle, 30, 4, 6
1862, none, galosphere:crystal_canyons, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
1863, none, galosphere:crystal_canyons, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 23, 5, 12
1864, none, galosphere:crystal_canyons, WATER_AMBIENT, aquaculture:bluegill, 20, 1, 6
1865, none, galosphere:crystal_canyons, WATER_AMBIENT, aquaculture:brown_trout, 10, 1, 3
1866, none, galosphere:crystal_canyons, WATER_AMBIENT, aquaculture:carp, 10, 1, 3
1867, none, galosphere:crystal_canyons, WATER_AMBIENT, aquaculture:catfish, 10, 1, 1
1868, none, galosphere:crystal_canyons, WATER_AMBIENT, aquaculture:gar, 10, 1, 2
1869, none, galosphere:crystal_canyons, WATER_AMBIENT, aquaculture:minnow, 18, 1, 5
1870, none, galosphere:crystal_canyons, WATER_AMBIENT, aquaculture:muskellunge, 10, 1, 1
1871, none, galosphere:crystal_canyons, WATER_AMBIENT, aquaculture:perch, 20, 1, 6
1872, none, galosphere:crystal_canyons, WATER_AMBIENT, aquaculture:smallmouth_bass, 10, 1, 3
1873, none, galosphere:crystal_canyons, rascals, friendsandfoes:rascal, 10, 1, 1
1874, none, nullscape:crystal_peaks, MONSTER, minecraft:enderman, 5, 4, 4
1875, none, nullscape:crystal_peaks, MONSTER, alexsmobs:farseer, 30, 1, 1
1876, none, nullscape:crystal_peaks, CREATURE, alexsmobs:endergrade, 10, 2, 6
1877, none, nullscape:crystal_peaks, CREATURE, alexsmobs:spectre, 10, 1, 2
1878, none, nullscape:crystal_peaks, CREATURE, alexsmobs:enderiophage, 10, 2, 2
1879, none, nullscape:crystal_peaks, CREATURE, alexsmobs:cosmaw, 10, 1, 2
1880, none, nullscape:crystal_peaks, AMBIENT, alexsmobs:cosmic_cod, 10, 9, 13
1881, forest, minecraft:dark_forest, MONSTER, minecraft:spider, 80, 4, 4
1882, forest, minecraft:dark_forest, MONSTER, minecraft:zombie, 80, 4, 4
1883, forest, minecraft:dark_forest, MONSTER, minecraft:zombie_villager, 10, 1, 1
1884, forest, minecraft:dark_forest, MONSTER, minecraft:skeleton, 80, 4, 4
1885, forest, minecraft:dark_forest, MONSTER, minecraft:creeper, 80, 4, 4
1886, forest, minecraft:dark_forest, MONSTER, minecraft:slime, 80, 4, 4
1887, forest, minecraft:dark_forest, MONSTER, minecraft:enderman, 5, 1, 4
1888, forest, minecraft:dark_forest, MONSTER, minecraft:witch, 5, 1, 1
1889, forest, minecraft:dark_forest, MONSTER, alexsmobs:centipede_head, 10, 1, 1
1890, forest, minecraft:dark_forest, MONSTER, alexsmobs:farseer, 30, 1, 1
1891, forest, minecraft:dark_forest, MONSTER, alexsmobs:murmur, 10, 1, 1
1892, forest, minecraft:dark_forest, MONSTER, creeperoverhaul:dark_oak_creeper, 75, 2, 2
1893, forest, minecraft:dark_forest, CREATURE, minecraft:sheep, 12, 4, 4
1894, forest, minecraft:dark_forest, CREATURE, minecraft:pig, 10, 4, 4
1895, forest, minecraft:dark_forest, CREATURE, minecraft:chicken, 10, 4, 4
1896, forest, minecraft:dark_forest, CREATURE, minecraft:cow, 10, 4, 4
1897, forest, minecraft:dark_forest, CREATURE, alexsmobs:grizzly_bear, 10, 2, 3
1898, forest, minecraft:dark_forest, CREATURE, alexsmobs:raccoon, 10, 2, 4
1899, forest, minecraft:dark_forest, CREATURE, alexsmobs:crow, 10, 3, 5
1900, forest, minecraft:dark_forest, CREATURE, alexsmobs:tasmanian_devil, 10, 1, 2
1901, forest, minecraft:dark_forest, CREATURE, alexsmobs:potoo, 15, 1, 1
1902, forest, minecraft:dark_forest, CREATURE, alexsmobs:skunk, 10, 1, 2
1903, forest, minecraft:dark_forest, CREATURE, alexsmobs:blue_jay, 16, 2, 4
1904, forest, minecraft:dark_forest, AMBIENT, minecraft:bat, 10, 8, 8
1905, forest, minecraft:dark_forest, AMBIENT, alexsmobs:fly, 10, 2, 3
1906, forest, minecraft:dark_forest, AMBIENT, alexsmobs:cockroach, 10, 5, 5
1907, forest, minecraft:dark_forest, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
1908, forest, minecraft:dark_forest, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 23, 5, 12
1909, forest, minecraft:dark_forest, WATER_AMBIENT, aquaculture:bluegill, 20, 1, 6
1910, forest, minecraft:dark_forest, WATER_AMBIENT, aquaculture:brown_trout, 10, 1, 3
1911, forest, minecraft:dark_forest, WATER_AMBIENT, aquaculture:carp, 10, 1, 3
1912, forest, minecraft:dark_forest, WATER_AMBIENT, aquaculture:catfish, 10, 1, 1
1913, forest, minecraft:dark_forest, WATER_AMBIENT, aquaculture:gar, 10, 1, 2
1914, forest, minecraft:dark_forest, WATER_AMBIENT, aquaculture:minnow, 18, 1, 5
1915, forest, minecraft:dark_forest, WATER_AMBIENT, aquaculture:muskellunge, 10, 1, 1
1916, forest, minecraft:dark_forest, WATER_AMBIENT, aquaculture:perch, 20, 1, 6
1917, forest, minecraft:dark_forest, WATER_AMBIENT, aquaculture:smallmouth_bass, 10, 1, 3
1918, forest, minecraft:dark_forest, rascals, friendsandfoes:rascal, 10, 1, 1
1919, forest, regions_unexplored:deciduous_forest, MONSTER, minecraft:spider, 80, 4, 4
1920, forest, regions_unexplored:deciduous_forest, MONSTER, minecraft:zombie, 80, 4, 4
1921, forest, regions_unexplored:deciduous_forest, MONSTER, minecraft:zombie_villager, 10, 1, 1
1922, forest, regions_unexplored:deciduous_forest, MONSTER, minecraft:skeleton, 80, 4, 4
1923, forest, regions_unexplored:deciduous_forest, MONSTER, minecraft:creeper, 80, 4, 4
1924, forest, regions_unexplored:deciduous_forest, MONSTER, minecraft:slime, 80, 4, 4
1925, forest, regions_unexplored:deciduous_forest, MONSTER, minecraft:enderman, 5, 1, 4
1926, forest, regions_unexplored:deciduous_forest, MONSTER, minecraft:witch, 5, 1, 1
1927, forest, regions_unexplored:deciduous_forest, MONSTER, alexsmobs:centipede_head, 10, 1, 1
1928, forest, regions_unexplored:deciduous_forest, MONSTER, alexsmobs:farseer, 30, 1, 1
1929, forest, regions_unexplored:deciduous_forest, MONSTER, alexsmobs:murmur, 10, 1, 1
1930, forest, regions_unexplored:deciduous_forest, CREATURE, minecraft:sheep, 12, 4, 4
1931, forest, regions_unexplored:deciduous_forest, CREATURE, minecraft:pig, 10, 4, 4
1932, forest, regions_unexplored:deciduous_forest, CREATURE, minecraft:chicken, 10, 4, 4
1933, forest, regions_unexplored:deciduous_forest, CREATURE, minecraft:cow, 10, 4, 4
1934, forest, regions_unexplored:deciduous_forest, CREATURE, alexsmobs:grizzly_bear, 10, 2, 3
1935, forest, regions_unexplored:deciduous_forest, CREATURE, alexsmobs:raccoon, 10, 2, 4
1936, forest, regions_unexplored:deciduous_forest, CREATURE, alexsmobs:crow, 10, 3, 5
1937, forest, regions_unexplored:deciduous_forest, CREATURE, alexsmobs:tasmanian_devil, 10, 1, 2
1938, forest, regions_unexplored:deciduous_forest, CREATURE, alexsmobs:skunk, 10, 1, 2
1939, forest, regions_unexplored:deciduous_forest, CREATURE, alexsmobs:blue_jay, 16, 2, 4
1940, forest, regions_unexplored:deciduous_forest, AMBIENT, minecraft:bat, 10, 8, 8
1941, forest, regions_unexplored:deciduous_forest, AMBIENT, alexsmobs:fly, 10, 2, 3
1942, forest, regions_unexplored:deciduous_forest, AMBIENT, alexsmobs:cockroach, 10, 5, 5
1943, forest, regions_unexplored:deciduous_forest, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
1944, forest, regions_unexplored:deciduous_forest, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 23, 5, 12
1945, forest, regions_unexplored:deciduous_forest, WATER_AMBIENT, aquaculture:bluegill, 20, 1, 6
1946, forest, regions_unexplored:deciduous_forest, WATER_AMBIENT, aquaculture:brown_trout, 10, 1, 3
1947, forest, regions_unexplored:deciduous_forest, WATER_AMBIENT, aquaculture:carp, 10, 1, 3
1948, forest, regions_unexplored:deciduous_forest, WATER_AMBIENT, aquaculture:catfish, 10, 1, 1
1949, forest, regions_unexplored:deciduous_forest, WATER_AMBIENT, aquaculture:gar, 10, 1, 2
1950, forest, regions_unexplored:deciduous_forest, WATER_AMBIENT, aquaculture:minnow, 18, 1, 5
1951, forest, regions_unexplored:deciduous_forest, WATER_AMBIENT, aquaculture:muskellunge, 10, 1, 1
1952, forest, regions_unexplored:deciduous_forest, WATER_AMBIENT, aquaculture:perch, 20, 1, 6
